date;time;weekday;daytype;daypart;classe
2015-05-06;00:14:57;mercredi;workday;nuit;(1, 'I')
2015-05-06;02:05:57;mercredi;workday;nuit;('I', 1)
2015-05-06;23:48:16;mercredi;workday;nuit;(1, 'I')
2015-05-07;03:42:52;jeudi;workday;nuit;('I', 1)
2015-05-07;15:08:19;jeudi;workday;apres-midi;(1, 4)
2015-05-07;22:57:17;jeudi;workday;nuit;(4, 7)
2015-05-08;00:36:09;vendredi;workday;nuit;(7, 1)
2015-05-08;13:57:36;vendredi;workday;apres-midi;(1, 4)
2015-05-08;22:41:03;vendredi;workday;nuit;(4, 'I')
2015-05-09;17:29:22;samedi;weekend;apres-midi;('I', 'I')
2015-05-09;21:54:09;samedi;weekend;nuit;('I', 'I')
2015-05-10;18:48:20;dimanche;weekend;apres-midi;('I', 'I')
2015-05-11;20:24:38;lundi;workday;nuit;('I', 'I')
2015-05-11;21:20:09;lundi;workday;nuit;('I', 9)
2015-05-11;22:10:20;lundi;workday;nuit;(9, 'I')
2015-05-11;22:45:28;lundi;workday;nuit;('I', 'I')
2015-05-12;00:18:01;mardi;workday;nuit;('I', 'I')
2015-05-12;01:03:40;mardi;workday;nuit;('I', 1)
2015-05-12;16:09:51;mardi;workday;apres-midi;(1, 4)
2015-05-12;21:27:39;mardi;workday;nuit;(4, 1)
2015-05-13;13:54:34;mercredi;workday;apres-midi;(1, 4)
2015-05-13;23:05:01;mercredi;workday;nuit;(4, 1)
2015-05-14;23:39:22;jeudi;workday;nuit;(1, 6)
2015-05-15;00:27:51;vendredi;workday;nuit;(6, 1)
2015-05-15;01:08:28;vendredi;workday;nuit;(1, 'I')
2015-05-15;02:53:09;vendredi;workday;nuit;('I', 'I')
2015-05-15;04:27:27;vendredi;workday;nuit;('I', 1)
2015-05-15;14:59:22;vendredi;workday;apres-midi;(1, 'I')
2015-05-15;15:33:04;vendredi;workday;apres-midi;('I', 5)
2015-05-15;17:39:46;vendredi;workday;apres-midi;(5, 'I')
2015-05-15;18:14:38;vendredi;workday;apres-midi;('I', 'I')
2015-05-15;18:45:04;vendredi;workday;apres-midi;('I', 1)
2015-05-15;19:41:21;vendredi;workday;nuit;(1, 'I')
2015-05-15;20:45:40;vendredi;workday;nuit;('I', 1)
2015-05-15;21:53:27;vendredi;workday;nuit;(1, 'I')
2015-05-15;22:54:10;vendredi;workday;nuit;('I', 1)
2015-05-15;23:30:42;vendredi;workday;nuit;(1, 3)
2015-05-18;22:02:58;lundi;workday;nuit;(3, 1)
2015-05-19;12:24:57;mardi;workday;apres-midi;(1, 2)
2015-05-20;12:51:51;mercredi;workday;apres-midi;(2, 2)
2015-05-21;13:15:44;jeudi;workday;apres-midi;(2, 2)
2015-05-22;01:01:59;vendredi;workday;nuit;(2, 1)
2015-05-23;00:58:36;samedi;weekend;nuit;(1, 6)
2015-05-23;01:44:34;samedi;weekend;nuit;(6, 1)
2015-05-23;04:35:33;samedi;weekend;nuit;(1, 8)
